text,action,device
like ok switch on all the ventilator thanks i dont like this,ENABLE,FAN
"can you Are you really going to ignore me, after everything that happened yesterday? for me",NONE,NONE
alright its hot um please He asked if she wanted room for cream in her coffee.,INCREASE,AC
bro I could hang out with her. now,NONE,NONE
um hey i am hot What kind of music do you like to listen to?,DECREASE,AC
could uh you off my screen,DISABLE,TV
could you make lower the television um please She started drinking again because she felt so awkward at social gatherings.,DECREASE,TV
boost my screen for me,INCREASE,TV
"She ate a sandwich for lunch which contained turkey, cheddar cheese, and slices of strawberries. ok turn up all the music please",INCREASE,MUSIC
alright Are you going to have a blue birthday cake for your next birthday? thanks,NONE,NONE
can you Well put you on the list. right now,NONE,NONE
We took refuge behind a tree. alright turn down lights now,DECREASE,LIGHTS
hey turn on the aircon What kind of music do you like to listen to?,ENABLE,AC
alright can you set an alarm thanks,NONE,NONE
yo He needed thirteen stitches. please,NONE,NONE
um alright power on all the music now,ENABLE,MUSIC
This is too hefty to easily carry.,NONE,NONE
can you reduce the light,DECREASE,LIGHTS
ok raise uh all the lamp for me,INCREASE,LIGHTS
alright can you jump now,NONE,NONE
could you power uh off my air conditioning please,DISABLE,AC
"alright His voice was pitchy and weak, partially because he was so nervous. for me",NONE,NONE
There was a fire last night. uh can you turn up air conditioner for me,INCREASE,AC
yo lower all the television now That was last week.,DECREASE,TV
could you She was very tired and frustrated. for me,NONE,NONE
I prefer ice cream over cake. like please down all the light right now,DECREASE,LIGHTS
can you down all the air fan for me,DECREASE,FAN
could you This will make a real difference. please,NONE,NONE
alright up the spotify for um me I wouldnt bet on going to the fair today.,INCREASE,MUSIC
alright The smoke was high in the sky. thanks,NONE,NONE
please down uh my speaker thanks There used to be a big cherry tree behind my house.,DECREASE,MUSIC
Honesty is the best policy. can you make higher lamp now,INCREASE,LIGHTS
ok make higher all the tv um now You can never turn the clock back.,INCREASE,TV
The jar of candles was ready on the table. can you disable the ac please,DISABLE,AC
"yo When I went to the cabin up north, I had to bring a lot of board games to entertain myself. now",NONE,NONE
She was curling her hair when she accidentally burned her forehead. yo up all the aircon for me,INCREASE,AC
could you I go back to bedroom. now,NONE,NONE
yo its too dark right now He gets up early every day.,INCREASE,LIGHTS
ok activate my um tv now,ENABLE,TV
She was miserable the entire time she was pregnant. like would you down all the aircon for me,DECREASE,AC
bro switch on my ceiling fan please You dont need 20 captains.,ENABLE,FAN
I am the designated survivor. right now,NONE,NONE
alright lower smart tv for me The children are at home.,DECREASE,TV
bro i want um to set an alarm right now,NONE,NONE
alright uh power on all the lighting please,ENABLE,LIGHTS
can you switch off air fan please I am the designated survivor.,DISABLE,FAN
He invited me to dinner yesterday. bro increase all the playlist,INCREASE,MUSIC
would you how do i tell a joke for me,NONE,NONE
bro make higher ventilator for me,INCREASE,FAN
bro My favorite one smells like roses. right now,NONE,NONE
The laptop light was the only one light on the room. ok disable my uh tv please,DISABLE,TV
could you He was married to a friend of mine. thanks,NONE,NONE
The mailbox was bent and broken and looked like someone had knocked it over on purpose. ok make lower tv for me,DECREASE,TV
alright make higher all the ventilator now Your stance tells me.,INCREASE,FAN
would you enable all the speaker right now,ENABLE,MUSIC
yo A big fire broke out after the earthquake. for me,NONE,NONE
hey turn down the speaker right now,DECREASE,MUSIC
hey We have been waiting for this for awhile. for me,NONE,NONE
This will make a real difference. can you make lower air fan,DECREASE,FAN
Tom picked up his glass and took a big sip of wine. please start the television right like now,ENABLE,TV
"off cooler thanks There were four people playing the game: her, her boyfriend, her boyfriends roommate, Steve, and Steves girlfriend, Cara.",DISABLE,AC
This way you can start to heal. please,NONE,NONE
down my ventilator,DECREASE,FAN
bro reduce all the fan right now,DECREASE,FAN
Wiggle your fingers! could you disable my playlist now,DISABLE,MUSIC
Nothing beats a big glass of beer in summer. bro decrease ceiling like fan thanks,DECREASE,FAN
ok Youll move more than before. right now,NONE,NONE
alright switch off like lamp please The volume was up too high on the television.,DISABLE,LIGHTS
ok boost my air conditioner now,INCREASE,AC
power on ventilator um right now She had a hard time guessing what women were nannies and which ones were mothers themselves.,ENABLE,FAN
ok turn on the ventilator um now,ENABLE,FAN
ok power off the like spotify please He was married to a friend of mine.,DISABLE,MUSIC
hey He asked if she wanted room for cream in her coffee. thanks,NONE,NONE
hey power down um fan please Hes got some brain condition that makes him think hes a flamingo.,DISABLE,FAN
My water bottle is white and made of steel. thanks,NONE,NONE
can you jump for me,NONE,NONE
please decrease all the ceiling fan for uh me,DECREASE,FAN
like please its too hot,DECREASE,AC
power on my um cooler now,ENABLE,AC
alright how do uh i eat please,NONE,NONE
bro The library was quiet until we got here. for me,NONE,NONE
This weekend is going to be the best weekend ever. hey power off my uh aircon for me,DISABLE,AC
She was determined to summit Mount Everest before she turned twenty-nine. would you turn off my air conditioner right now,DISABLE,AC
bro There is a dictionary open on the table. now,NONE,NONE
"In Guam, she laid in the sun and ate mangoes all day. can you turn down the ventilator right now",DECREASE,FAN
yo turn on all the um ceiling fan now,ENABLE,FAN
alright stop all the air conditioning thanks I go back to bedroom.,DISABLE,AC
ok score is not working,NONE,NONE
The library was quiet until we got here. right now,NONE,NONE
can you i am hot Those apples are very red.,DECREASE,AC
It will definitely happen sometime in the future. alright power off the ceiling light for me,DISABLE,LIGHTS
hey turn off the ceiling fan right now Were over the hill now! he called over his shoulder.,DISABLE,FAN
Hes got some brain condition that makes him think hes a flamingo. ok power off the aircon,DISABLE,AC
What a day were having! her mother sighed. please reduce fan thanks,DECREASE,FAN
He was married to a friend of mine. could you turn down all like the smart tv,DECREASE,TV
He has made a big improvement in tennis. uh hey lower my cooler please,DECREASE,AC
what is um the news,NONE,NONE
can you power on my fan uh now There is nothing more that I need to hear.,ENABLE,FAN
please can you dance for me,NONE,NONE
"can you decrease all the air conditioner for me I wanted a little more than that, to be perfectly honest, Trevor.",DECREASE,AC
bro tell me a score for me,NONE,NONE
please this is so stupid please,NONE,NONE
yo up uh aircon,INCREASE,AC
"could you power like down air conditioning She wished she had the budget to buy take-out, because she really wanted Thai food.",DISABLE,AC
can you They made crispy chicken.,NONE,NONE
A red tie will match that suit. would you up my ceiling uh light,INCREASE,LIGHTS
can you increase all the um fan now Could you tell me what time it is?,INCREASE,FAN
bro Tom doesnt want to make a big deal out of it. thanks,NONE,NONE
alright Is there a big market for this kind of thing these days? now,NONE,NONE
would you He ran his horse up the hill. for me,NONE,NONE
"bro Happy Birthday to my 152 year old lover, Canada. thanks",NONE,NONE
Tom stepped off the bus with a smile on his face. please power on speaker right now,ENABLE,MUSIC
ok lower my air conditioning,DECREASE,AC
ok what uh is the score now,NONE,NONE
could you turn up my um sound system now He needed thirteen stitches.,INCREASE,MUSIC
hey its too dark right now He continued talking.,INCREASE,LIGHTS
"could you There were four people playing the game: her, her boyfriend, her boyfriends roommate, Steve, and Steves girlfriend, Cara.",NONE,NONE
uh would you turn off audio for me,DISABLE,MUSIC
bro I had to put a pin in his femur.,NONE,NONE
Here is David with his guitar. hey reduce smart tv,DECREASE,TV
start all the ventilator please,ENABLE,FAN
ok i am tired for me,NONE,NONE
You guys can leave whenever you want. please power up all the air fan right now,ENABLE,FAN
could you tell me a weather right now,NONE,NONE
ok heat up the uh room please,INCREASE,AC
please power on uh all the ceiling light,ENABLE,LIGHTS
yo on all the air conditioner for me,ENABLE,AC
make lower all the ventilator now,DECREASE,FAN
could you switch on bedside lamp um for me,ENABLE,LIGHTS
please I spread the map on the table. right now,NONE,NONE
yo I have a friend whose father is the captain of a big ship. now,NONE,NONE
yo i want to set an alarm uh thanks,NONE,NONE
alright boost my speaker now,INCREASE,MUSIC
"ok power on the cooler for me When she saw Walmart had rotisserie chickens, she thought, this is a miracle.",ENABLE,AC
boost my lighting now,INCREASE,LIGHTS
bro make higher my aircon now,INCREASE,AC
i dont like this right now,NONE,NONE
yo turn on um my sound system for me,ENABLE,MUSIC
"Her mom told her to calm down, but she couldnt relax. could you turn down the ceiling fan please",DECREASE,FAN
please switch uh off all the tv for me How do you celebrate the 4th of July?,DISABLE,TV
would you its too dim um thanks Old habits die hard.,INCREASE,LIGHTS
like ok turn up the fan please I wish I had met my uncle yesterday like I was supposed to.,INCREASE,FAN
"can you When I went to the cabin up north, I had to bring a lot of board games to entertain myself.",NONE,NONE
bro make um lower the ceiling light right now,DECREASE,LIGHTS
yo how are you now,NONE,NONE
alright make higher my tv uh right now,INCREASE,TV
ok make higher the audio right now,INCREASE,MUSIC
ok lower um spotify for me Is there a big market for this kind of thing these days?,DECREASE,MUSIC
can you Everything will be okay in the end. right now,NONE,NONE
like could you i want to send a message thanks,NONE,NONE
yo he has skipped school on many occasions. right now,NONE,NONE
She wished she could speak Italian. yo boost my ac uh now,INCREASE,AC
"ok When you sit down for a long time, it hurts. please",NONE,NONE
"alright on the air like conditioner now Her mom told her to calm down, but she couldnt relax.",ENABLE,AC
"ok That house is small, but its big enough for us.",NONE,NONE
alright What do you like to do with other people? right now,NONE,NONE
would you start all the fan,ENABLE,FAN
yo power um up television right now,ENABLE,TV
Ill see to it. hey power like on my speaker now,ENABLE,MUSIC
um could you on all the ceiling light for me,ENABLE,LIGHTS
please I made a list. now,NONE,NONE
can you I need a dollar for the vending machine. please,NONE,NONE
could you activate the screen for me,ENABLE,TV
what like is the cup please,NONE,NONE
would you increase all the ventilator right now,INCREASE,FAN
hey Money doesnt grow on trees. now,NONE,NONE
could you um turn down air conditioning now,DECREASE,AC
alright lower all the playlist for me,DECREASE,MUSIC
would you I really need to lose some weight.,NONE,NONE
ok power up the like air fan right now The girl picked the pink flower out of her garden.,ENABLE,FAN
yo She had to start saving in October so she could afford to buy Christmas presents for all her family and friends. for me,NONE,NONE
alright stop all the air fan please The spoon lay next to the fork.,DISABLE,FAN
hey make higher all the hvac now,INCREASE,AC
hey on light right now,ENABLE,LIGHTS
My only thing is that Im working from home tomorrow. hey its like too dark,INCREASE,LIGHTS
She had a hard time guessing what women were nannies and which ones were mothers themselves. would you stop my um aircon please,DISABLE,AC
could you I wouldnt bet on going to the fair today.,NONE,NONE
hey make like lower playlist for me,DECREASE,MUSIC
increase my ventilator right uh now,INCREASE,FAN
would you start smart tv please,ENABLE,TV
yo start the sound system now,ENABLE,MUSIC
He invited me to dinner yesterday. thanks,NONE,NONE
please its too hot right now You dont say.,DECREASE,AC
A yardstick is 3 feet long. right now,NONE,NONE
alright make it warmer,INCREASE,AC
yo make it brighter right now,INCREASE,LIGHTS
alright power on my fan,ENABLE,FAN
increase the air conditioning thanks,INCREASE,AC
can you switch off all the lighting now,DISABLE,LIGHTS
hey what is the tablet like right now,NONE,NONE
can you tell um me a news,NONE,NONE
Everything will be okay in the end. alright make higher audio um right now,INCREASE,MUSIC
please Ill see to it. for me,NONE,NONE
would you uh increase all the screen thanks She sells Christmas trees.,INCREASE,TV
could you lower the air conditioner right now,DECREASE,AC
yo power up my speaker please,ENABLE,MUSIC
Her water bottle had a built-in filtration system. could you raise all the audio,INCREASE,MUSIC
yo Toms apartment is way too big for just one man. now,NONE,NONE
Nothing beats a big glass of beer in summer. now,NONE,NONE
can you The clock was ticking and kept me awake all night. right now,NONE,NONE
alright off my playlist now,DISABLE,MUSIC
alright boost air conditioner please We would move to a nicer house if we had more money.,INCREASE,AC
please She had to start saving in October so she could afford to buy Christmas presents for all her family and friends. for me,NONE,NONE
bro She was miserable the entire time she was pregnant. thanks,NONE,NONE
yo This is the biggest apple Ive ever seen. for me,NONE,NONE
"ok up my uh ventilator now She left her umbrella at her dates house, and because the date was so bad, couldnt return to get it.",INCREASE,FAN
There is a dictionary open on the table. would you make lower the audio now,DECREASE,MUSIC
power off all the tv like thanks You dont say.,DISABLE,TV
can you Its four a.m. and both of us would rather be asleep. for me,NONE,NONE
"yo off all the air fan uh for me When I went to the cabin up north, I had to bring a lot of board games to entertain myself.",DISABLE,FAN
"um could you turn up all the screen please He had a sore throat, so I gave him my bottle of water.",INCREASE,TV
Robert tends to talk big. please switch on my music,ENABLE,MUSIC
Hes not the sharpest knife in the drawer. bro i am cold um please,INCREASE,AC
please A red tie will match that suit.,NONE,NONE
like would you activate the smart tv He invited me to dinner yesterday.,ENABLE,TV
would you um tell me a chips,NONE,NONE
She really wanted to go out to a diner and eat some greasy toast and eggs for breakfast. for me,NONE,NONE
The delayed train has been an unexpected event today. could you lower the screen,DECREASE,TV
bro can you sleep uh please,NONE,NONE
yo Apple picking is not in season. thanks,NONE,NONE
ok tell me a chips for me,NONE,NONE
"turn down my lighting um please Her mom told her to calm down, but she couldnt relax.",DECREASE,LIGHTS
A big fire broke out after the earthquake. please lower all the television,DECREASE,TV
Weve got much bigger problems to deal with right now. right now,NONE,NONE
ok lower all the smart tv um right now,DECREASE,TV
ok like make lower my fan now,DECREASE,FAN
ok um disable my tv thanks Judith Jarvis Thompson is the best philosopher of all time.,DISABLE,TV
alright Apple picking is not in season. thanks,NONE,NONE
would you game is um not working thanks,NONE,NONE
alright um turn on television please He needed thirteen stitches.,ENABLE,TV
would you His mom was so upset that he knew he couldnt tell her the truth. now,NONE,NONE
yo down the like screen please,DECREASE,TV
would you down my lights for me He was innocent of the crime.,DECREASE,LIGHTS
yo This weekend is going to be the best weekend ever. for me,NONE,NONE
would you raise lamp for me,INCREASE,LIGHTS
yo Nothing beats a big glass of beer in summer.,NONE,NONE
"can you make it brighter In Hong Kong, everyone lives stacked together.",INCREASE,LIGHTS
alright turn on the music,ENABLE,MUSIC
could you start all the smart tv now,ENABLE,TV
I wanted to do well in the interview. now,NONE,NONE
ok raise uh the lamp now,INCREASE,LIGHTS
can you We would move to a nicer house if we had more money. for me,NONE,NONE
yo raise the uh speaker please,INCREASE,MUSIC
decrease the sound system,DECREASE,MUSIC
would you Mary enjoys cooking. please,NONE,NONE
How big you are! would you make lower light now,DECREASE,LIGHTS
"would you turn um down my air fan thanks When I went to the cabin up north, I had to bring a lot of board games to entertain myself.",DECREASE,FAN
ok i want to eat,NONE,NONE
He read the report. ok enable air conditioner please,ENABLE,AC
can you turn up ac for me,INCREASE,AC
hey Do you have any big plans for the weekend?,NONE,NONE
"would you When the cats away, the mice play. please",NONE,NONE
can you You guys like meat. please,NONE,NONE
"yo She bought the green eyeshadow spontaneously, then regretted the purchase. now",NONE,NONE
"ok In Australia, there is a store called PieFace which sells meat pies with smiley faces on them. for me",NONE,NONE
hey Were over the hill now! he called over his shoulder. right now,NONE,NONE
this is boring please make higher all the aircon right um now,INCREASE,AC
"please turn up music right now On top of all that, her parents told her yesterday that they were getting a divorce.",INCREASE,MUSIC
ok She constantly thought she was one mistake away from being fired.,NONE,NONE
yo start the fan right now,ENABLE,FAN
switch on television right now,ENABLE,TV
please tell me a temperature outside,NONE,NONE
yo do uh you know how to dance please,NONE,NONE
could you down my lighting right now,DECREASE,LIGHTS
can you tell me a tablet thanks,NONE,NONE
alright do you know how to open the door thanks,NONE,NONE
I am about as tall as my father now. would you up bedside lamp please,INCREASE,LIGHTS
please make higher uh my fan please,INCREASE,FAN
yo tell me a time right now,NONE,NONE
uh ok what is the time right now,NONE,NONE
ok I want you to remember that. for me,NONE,NONE
please turn up all the smart um tv for me I wouldnt bet on going to the fair today.,INCREASE,TV
could you You guys can leave whenever you want.,NONE,NONE
could you Apple picking is not in season. now,NONE,NONE
yo can you cook dinner thanks,NONE,NONE
yo I was excited to spend time with my wife without being interrupted by kids.,NONE,NONE
alright on the smart tv right uh now,ENABLE,TV
please on all the lighting right now,ENABLE,LIGHTS
ok on uh the spotify She found the necklace in a safe at the bottom of her parents closet.,ENABLE,MUSIC
She was very tired and frustrated. alright start audio for me,ENABLE,MUSIC
hey activate the ventilator right now,ENABLE,FAN
bro I want to be done with this. please,NONE,NONE
"please turn off the ceiling fan please Show me your rates, please.",DISABLE,FAN
hey There was a big fire in my neighborhood. right now,NONE,NONE
ok He continued talking. thanks,NONE,NONE
please power up screen for me,ENABLE,TV
please We have a juice bar. now,NONE,NONE
can you Could you tell me what time it is? please,NONE,NONE
would you turn up my air conditioning right now,INCREASE,AC
um please turn down the ventilator now,DECREASE,FAN
alright turn up my tv right now,INCREASE,TV
like ok turn on my sound system please,ENABLE,MUSIC
He owes me a lot of money. hey raise my um screen,INCREASE,TV
ok activate bulb now,ENABLE,LIGHTS
What a day were having! her mother sighed. yo turn off all the ceiling fan for me,DISABLE,FAN
The mailbox was bent and broken and looked like someone had knocked it over on purpose. could you up all the lamp for me,INCREASE,LIGHTS
would you can you eat right now,NONE,NONE
Its rare to find big yards in Japan. can you switch on fan now,ENABLE,FAN
"bro On top of all that, her parents told her yesterday that they were getting a divorce. for me",NONE,NONE
Toms apartment is way too big for just one man. please power off my um air conditioning thanks,DISABLE,AC
please reduce uh lamp thanks,DECREASE,LIGHTS
She found little pellets of iron in her garden bed. alright lower my air conditioner,DECREASE,AC
bro decrease lighting now I entered Toms name on the list of candidates.,DECREASE,LIGHTS
bro You can order it spicy or classic. now,NONE,NONE
could you increase the playlist right now,INCREASE,MUSIC
I spread the map on the table. could you switch uh off all the screen,DISABLE,TV
That is fake news. bro on all the air conditioner um thanks,ENABLE,AC
please She found the necklace in a safe at the bottom of her parents closet. please,NONE,NONE
can you Shape up or ship out! now,NONE,NONE
A big fire broke out after the earthquake.,NONE,NONE
"increase the spotify please He got shot in the stomach, but he didnt die.",INCREASE,MUSIC
I cant swim after I drink milk. bro up the fan right now,INCREASE,FAN
She was miserable the entire time she was pregnant. hey turn off all like the tv right now,DISABLE,TV
can you raise all the hvac,INCREASE,AC
hey Theres nobody out there. for me,NONE,NONE
could you lower my hvac thanks What kind of music do you like to listen to?,DECREASE,AC
"please power up the ventilator for me She liked Dune, but it didnt pass the Bechdel Test.",ENABLE,FAN
can you raise my television now This big sofa is really not suitable for a small room.,INCREASE,TV
bro I have the flowers. right now,NONE,NONE
yo turn up the smart tv thanks Toms house is at least twice as big as mine.,INCREASE,TV
hey its uh hot for me,INCREASE,AC
Her great-great-great grandfather was an outlaw in the Old West. uh alright down the aircon thanks,DECREASE,AC
alright reduce my television thanks,DECREASE,TV
alright You can order it spicy or classic. for me,NONE,NONE
um could you cool the room right now,DECREASE,AC
I have been trying to say this for awhile. yo up the smart tv for me,INCREASE,TV
alright My water bottle is white and made of steel.,NONE,NONE
Thats a wrap for me. could you boost the lamp now,INCREASE,LIGHTS
I have 10 hair straighteners. right now,NONE,NONE
could you turn um down music,DECREASE,MUSIC
"could you make higher the spotify for me He had a sore throat, so I gave him my bottle of water.",INCREASE,MUSIC
could you boost all the air conditioning right now,INCREASE,AC
hey turn down the air fan thanks,DECREASE,FAN
No woman would buy that. ok make higher my audio now,INCREASE,MUSIC
like could you power on all the ac please Id like to talk about the benefits of having a pet pig.,ENABLE,AC
hey Im going to make you a list of what needs to be done. for me,NONE,NONE
The jar of candles was ready on the table. could you turn up uh all the screen for me,INCREASE,TV
I wouldnt bet on going to the fair today. yo raise the ceiling fan please,INCREASE,FAN
would you You cant have your cake and eat it too. for me,NONE,NONE
bro Im having second thoughts about getting married so soon. now,NONE,NONE
please power up all the uh lighting right now,ENABLE,LIGHTS
bro turn up the air conditioning thanks,INCREASE,AC
yo like power on the music now,ENABLE,MUSIC
He gets up early every day. please turn up my audio,INCREASE,MUSIC
That man is creepy. can you i am hot thanks,DECREASE,AC
"She left her umbrella at her dates house, and because the date was so bad, couldnt return to get it. bro disable all the air conditioning",DISABLE,AC
would you on the air fan for me He won the race through his determination and focus.,ENABLE,FAN
She is my mother. for me,NONE,NONE
alright turn up cooler now,INCREASE,AC
can you its hot now The volume was up too high on the television.,INCREASE,AC
could you turn down the ac thanks Being the last male on my dads side of the family has its perks.,DECREASE,AC
"please Once you join me, we can go visit the aquarium at the mall. now",NONE,NONE
hey game is not working like right now,NONE,NONE
ok power on my tv thanks,ENABLE,TV
could you enable all the air conditioning,ENABLE,AC
can you enable all the ceiling fan right now,ENABLE,FAN
The baby was so cute but she was crying so loud I had to plug my ears. yo reduce audio for me,DECREASE,MUSIC
like ok tell me a time right now,NONE,NONE
Its four a.m. and both of us would rather be asleep. can you power off the air conditioner thanks,DISABLE,AC
hey what is the cup please,NONE,NONE
could you power down aircon right now,DISABLE,AC
alright She was miserable the entire time she was pregnant. thanks,NONE,NONE
She liked him until he said he was a Marxist. please,NONE,NONE
yo enable all the hvac right now,ENABLE,AC
can you power on all the screen for me,ENABLE,TV
"hey His voice was pitchy and weak, partially because he was so nervous. now",NONE,NONE
can you She had to start saving in October so she could afford to buy Christmas presents for all her family and friends. for me,NONE,NONE
"Happy Birthday to my 152 year old lover, Canada. could you uh raise my sound system for me",INCREASE,MUSIC
uh hey disable all the music right now,DISABLE,MUSIC
alright make higher all the room light for me The laptop light was the only one light on the room.,INCREASE,LIGHTS
hey switch on ceiling fan now I am about as tall as my father now.,ENABLE,FAN
Whats your favorite holiday? turn down all the ceiling fan now,DECREASE,FAN
"can you turn on screen thanks His voice was pitchy and weak, partially because he was so nervous.",ENABLE,TV
A yardstick is 3 feet long. bro make lower the ceiling fan please,DECREASE,FAN
hey up all the air conditioner What a day were having! her mother sighed.,INCREASE,AC
alright start all the audio now The kid had made it his mission to pee in every pool he swam in.,ENABLE,MUSIC
please up like all the air fan thanks Its much bigger than I thought it would be.,INCREASE,FAN
hey The man was busted for theft. now,NONE,NONE
please power on screen for me,ENABLE,TV
bro I have the flowers. thanks,NONE,NONE
would you We saw her duck. now,NONE,NONE
